,date,symbol,volume,start,stop,initial_imb,paired_imb,direction,open_price,spread_at_open,close_price,moc_close_price,close_status,spread_at_close,max_pnl_time,max_pnl_price,min_pnl_time,min_pnl_price,position_size,reverse_count,imbBeforeReversePct,imbAfterReversePct,deltaImbPct,delta_move,delta_move_pct,position_pnl
48,2020-11-20,ETRN,4830354,2020-11-20 15:55:00,2020-11-20 15:56:00,-112850,911244,Long,7.82,0.010000000000000675,7.83,,market,0.009999999999999787,2020-11-20 15:55:16.338268,7.83,2020-11-20 15:55:00.159258,7.8100000000000005,6393.86189258312,1,-2.33626769383776,0.31018430533248703,2.646451999170247,0.009999999999999787,0.12787723785165966,63.938618925829836
49,2020-11-20,EVRG,1943223,2020-11-20 15:59:24,2020-11-20 16:00:00,98835,361172,Short,54.52,0.00999999999999801,54.54,54.51,moc,0.0,2020-11-20 15:59:25.254388,54.47,2020-11-20 15:59:59.508078,54.55,193.0,1,5.086137823605423,-3.8911128573509064,-8.97725068095633,0.010000000000005116,0.018341892883354943,1.9300000000009874
50,2020-11-20,EW,2730855,2020-11-20 15:59:14,2020-11-20 16:00:00,15054,279179,Short,84.59,0.04999999999999716,84.59,84.53,moc,0.0,2020-11-20 15:59:51.256462,84.48,2020-11-20 15:59:14.253046,84.64,100.0,14,0.5512559253420632,-0.4630784131709666,-1.01433433851303,0.060000000000002274,0.07093037002009962,6.000000000000227
51,2020-11-20,FE,6789813,2020-11-20 15:55:00,2020-11-20 15:56:00,230418,575930,Short,28.03,0.00999999999999801,28.05,,market,0.010000000000001563,2020-11-20 15:55:37.566267,28.03,2020-11-20 15:55:55.720526,28.05,1206.0,1,3.393583888098244,-0.5534909429758964,-3.9470748310741404,-0.019999999999999574,-0.07135212272564956,-24.119999999999486
52,2020-11-20,FIS,3261554,2020-11-20 15:55:00,2020-11-20 15:56:00,-31095,234449,Long,144.54,0.07999999999998408,144.54,,market,0.030000000000001137,2020-11-20 15:55:10.003127,144.55,2020-11-20 15:55:38.920766,144.45,201.0,1,-0.9533798919165527,0.6507020886362759,1.6040819805528286,0.0,0.0,0.0
53,2020-11-20,FTCH,6282204,2020-11-20 15:59:20,2020-11-20 16:00:00,126270,61578,Short,46.98,0.030000000000001137,47.02,47.0,moc,0.0,2020-11-20 15:59:46.321046,46.71,2020-11-20 15:59:52.595166,47.05,766.0,7,2.0099633822779395,-1.8517386573247223,-3.861702039602662,-0.020000000000003126,-0.04257130693912969,-15.320000000002395
54,2020-11-20,FTI,7368149,2020-11-20 15:55:00,2020-11-20 15:56:00,-103298,348392,Long,8.28,0.009999999999999787,8.27,,market,0.009999999999999787,2020-11-20 15:55:01.001172,8.27,2020-11-20 15:55:01.001172,8.27,6038.647342995169,1,-1.401953190686019,0.6047923297968052,2.0067455204828244,-0.009999999999999787,-0.12077294685990082,-60.38647342995041
55,2020-11-20,GFI,4920492,2020-11-20 15:57:02,2020-11-20 15:58:02,-4806,303742,Long,9.6,0.009999999999999787,9.6,,market,0.009999999999999787,2020-11-20 15:57:02.253096,9.6,2020-11-20 15:57:02.249958,9.59,5208.333333333334,1,-0.09767315951331697,3.6214671215805248,3.719140281093842,0.0,0.0,0.0
56,2020-11-20,GIS,2840638,2020-11-20 15:59:50,2020-11-20 16:00:00,11433,552679,Short,61.36,0.020000000000003126,61.39,61.36,moc,0.0,2020-11-20 15:59:51.260008,61.36,2020-11-20 15:59:58.018602,61.42,814.8631029986963,2,0.4024800062521166,-0.8049952158634786,-1.207475222115595,0.0,0.0,0.0
57,2020-11-20,GSX,3783846,2020-11-20 15:55:03,2020-11-20 15:56:03,-216827,778572,Long,65.81,0.07000000000000739,65.92,,market,0.04999999999999716,2020-11-20 15:55:24.055061,65.98,2020-11-20 15:55:07.525225,65.63,300.0,1,-5.730333634085531,0.14112625090978861,5.8714598849953195,0.10999999999999943,0.16714784987083942,32.99999999999983
